VC32 - sample depths,,,,,,,,,,,,,
0.42,0.72,0.88,0.96,1.18,1.34,1.66,1.82,1.92,2.22,2.54,,,
max-N 263885.838524284,max-N 8.86535413761225,max-N 0.0966407459219224,,max-N 0.271262345778523,,max-N 0.0609586354416755,max-N 0.137991510858164,max-N 0.0701945814413126,max-N 0.165031302401519,,,,
start 37,start 56,start 41,,start 51,,start 31,start 45,start 42,start 64,,,,
end 56,end 140,end 140,,end 141,,end 140,end 140,end 141,end 141,,,,
clipped-top 2,clipped-top 1,clipped-top 1,,clipped-top 0,,clipped-top 0,clipped-top 1,clipped-top 0,clipped-top 0,,,,
low 30,low 30,low 30,,low 30,,low 30,low 30,low 30,low 30,,,,
high 141,high 141,high 141,,high 141,,high 140,high 141,high 141,high 141,,,,
#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,#CALCULATED USING AUTOMATED PARAMETERS,,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,,,
,,,,,,,,,,,,,
VC40 - sample depths,,,,,,,,,,,,,
0.66,0.82,0.98,1.14,1.22,1.3,1.54,1.78,1.94,2.18,2.19,2.26,2.42,2.58
k-2.5% 0.0760111795254181,k-2.5% 0.0760111795254181,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.00781502698176785,k-2.5% 0.0170370378593203,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.0290119323705262,k-2.5% 0.0340109501729782,k-2.5% 0.0235287999109302,k-2.5% 0.0243719424611881,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.0287321028093099,#CALCULATED USING AUTOMATED PARAMETERS
k-50% 0.0823170267205544,k-50% 0.0823170267205544,,k-50% 0.0266669460504923,k-50% 0.0242960494528921,,k-50% 0.0392712461623719,k-50% 0.0378462289047471,k-50% 0.030875360305404,k-50% 0.02812618149998,,,k-50% 0.0298657297883344,
k-97.5% 0.0891222451540254,k-97.5% 0.0891222451540254,,k-97.5% 0.0550460731912602,k-97.5% 0.0334450767244898,,k-97.5% 0.0516496808078922,k-97.5% 0.041990646490589,k-97.5% 0.039508133257837,k-97.5% 0.0322780585903294,,,k-97.5% 0.0310256817058998,
N-2.5% 0.72439807340753,N-2.5% 0.72439807340753,,N-2.5% 0.0214170310765447,N-2.5% 0.0397612831592422,,N-2.5% 0.237075425850487,N-2.5% 0.245999427259123,N-2.5% 0.0887732144726724,N-2.5% 0.0618665070931408,,,N-2.5% 0.11999055397299,
N-50% 0.929166911731819,N-50% 0.929166911731819,,N-50% 0.0671046900184307,N-50% 0.0654071104704311,,N-50% 0.618540253249402,N-50% 0.341257678342343,N-50% 0.167021705747737,N-50% 0.0762037402604848,,,N-50% 0.131706476117533,
N-97.5% 1.20887667485351,N-97.5% 1.20887667485351,,N-97.5% 0.346291548191507,N-97.5% 0.112592458680349,,N-97.5% 1.86618569549049,N-97.5% 0.482044965154791,N-97.5% 0.335063004588099,N-97.5% 0.0942729835336718,,,N-97.5% 0.14474191121294,
min-k 0.0714440551358099,min-k 0.0714440551358099,,min-k 0.00959244754400116,min-k 0.0180467485428256,,min-k 0.0277115535885863,min-k 0.0246514198390492,min-k 0.0145797515025345,min-k 0.0257691190597696,,,min-k 0.02533859868017,
max-k 0.0928380648543998,max-k 0.0928380648543998,,max-k 0.163763761973269,max-k 0.0303738901852294,,max-k 0.0509064921482571,max-k 0.0394666151555899,max-k 0.0561641364033364,max-k 0.0386567062050818,,,max-k 0.0329376920508276,
min-N 0.568598644821179,min-N 0.568598644821179,,min-N 0.0231075740148053,min-N 0.0394991959556003,,min-N 0.189558014053181,min-N 0.0955129812623601,min-N 0.033635044443425,min-N 0.0650645378564267,,,min-N 0.0865490962739726,
max-N 1.49651393581187,max-N 1.49651393581187,,max-N 3002744.85980354,max-N 0.104454938524422,,max-N 2.13933910277778,max-N 0.401534208117566,max-N 2.32642329452985,max-N 0.166040671074073,,,max-N 0.177578130957365,
start 34,start 34,,start 48,start 43,,start 80,start 72,start 68,start 34,,,start 66,
end 135,end 135,,end 106,end 141,,end 140,end 141,end 141,end 132,,,end 139,
clipped-top 0,clipped-top 0,,clipped-top 1,clipped-top 0,,clipped-top 1,clipped-top 0,clipped-top 0,clipped-top 2,,,clipped-top 2,
low 30,low 30,,low 30,low 30,,low 30,low 30,low 30,low 30,,,low 30,
high 141,high 141,,high 140,high 141,,high 141,high 141,high 141,high 134,,,high 141,
#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,,#CALCULATED USING AUTOMATED PARAMETERS,
,,,,,,,,,,,,,
VC45- sample depths,,,,,,,,,,,,,
0.32,0.56,0.69,0.75,0.8,0.96,1.02,1.28,1.52,2.96,3.04,3.28,3.44,
